Date,High price,Low price,Closing price,Average price,Total volume,Turnover
2013-07-19,1221.21,1208.71,1221.21,,1,10822804167
2013-07-18,1219.57,1207.42,1217.57,,1,12442594173
2013-07-17,1218.38,1205.71,1211.10,,1,10519746381
2013-07-16,1219.69,1210.40,1212.62,,1,9443834393
2013-07-15,1222.60,1213.89,1215.23,,1,7555287819
2013-07-12,1216.92,1210.57,1210.73,,1,7502633813
2013-07-11,1211.37,1204.89,1211.37,,1,8385894467
2013-07-10,1197.34,1185.81,1195.31,,1,7380481448
2013-07-09,1194.77,1185.18,1194.75,,1,7781088363
2013-07-08,1186.96,1173.52,1182.64,,1,6315376999
2013-07-05,1186.33,1164.84,1167.52,,1,7588348602
2013-07-04,1178.30,1158.83,1175.22,,1,8473918872
2013-07-03,1154.73,1141.90,1154.54,,1,7293460062
2013-07-02,1167.34,1153.88,1161.38,,1,8088329782
2013-07-01,1165.98,1150.39,1165.64,,1,8904046712
2013-06-28,1166.36,1150.26,1151.00,,1,10947331965
2013-06-27,1163.34,1144.07,1161.00,,1,8935604437
2013-06-26,1147.82,1128.77,1144.78,,1,9905927703
2013-06-25,1133.21,1117.88,1129.25,,1,13183324646
2013-06-24,1129.34,1108.96,1112.14,,1,13852624609
2013-06-20,1163.66,1137.12,1138.60,,1,16290027303
2013-06-19,1192.21,1174.16,1174.84,,1,17896939139
2013-06-18,1198.12,1183.40,1193.95,,1,7737997458
2013-06-17,1196.45,1180.23,1191.39,,1,7954887551
2013-06-14,1185.21,1174.42,1177.59,,1,9601390158
2013-06-13,1174.03,1155.94,1173.57,,1,10920852343
2013-06-12,1192.91,1176.53,1177.26,,1,8319783982
2013-06-11,1190.97,1178.54,1184.62,,1,10715016442
2013-06-10,1197.17,1188.91,1192.86,,1,7737665064
2013-06-07,1197.98,1175.53,1192.98,,1,11839145771
2013-06-05,1205.17,1182.77,1185.04,,1,8816168432
2013-06-04,1220.00,1205.47,1207.56,,1,7590901163
2013-06-03,1222.66,1202.39,1209.71,,1,8464718503
2013-05-31,1225.55,1209.56,1214.77,,1,11831853039
2013-05-30,1229.04,1216.66,1225.18,,1,7842913064
2013-05-29,1238.24,1220.49,1222.37,,1,8342726202
2013-05-28,1245.80,1236.40,1244.04,,1,8148106093
2013-05-27,1231.68,1220.68,1231.68,,1,4047434222
2013-05-24,1231.29,1214.82,1217.06,,1,7775797686
2013-05-23,1234.17,1216.05,1224.45,,1,12326736754
2013-05-22,1257.56,1246.28,1254.57,,1,8960855426
2013-05-21,1248.16,1236.31,1248.14,,1,9132803787
2013-05-20,1250.10,1240.04,1243.37,,1,7766061215
2013-05-17,1244.67,1232.53,1244.25,,1,10169919657
2013-05-16,1239.91,1228.82,1235.00,,1,9786962323
2013-05-15,1230.40,1222.91,1230.12,,1,7726928623
2013-05-14,1225.98,1218.35,1224.85,,1,8268607766
2013-05-13,1230.48,1220.81,1223.89,,1,8138823123
2013-05-10,1232.85,1223.37,1227.31,,1,11405579501
2013-05-08,1221.83,1209.27,1221.83,,1,5056711721
2013-05-07,1215.14,1207.19,1208.10,,1,10280811003
2013-05-06,1207.20,1200.00,1205.17,,1,5709401460
2013-05-03,1208.61,1190.94,1203.34,,1,9721862777
2013-05-02,1197.10,1186.79,1194.42,,1,11414040699
2013-04-30,1204.04,1198.33,1198.99,,1,6324332734
2013-04-29,1200.20,1188.38,1198.11,,1,9648545568
2013-04-26,1196.55,1186.75,1194.66,,1,13021450093
2013-04-25,1198.33,1174.66,1194.86,,1,14708471043
2013-04-24,1176.91,1161.05,1176.91,,1,13786343468
2013-04-23,1172.79,1143.83,1172.79,,1,15913451594
2013-04-22,1158.29,1142.81,1143.30,,1,11066371333
2013-04-19,1153.99,1143.46,1147.31,,1,9646317512
2013-04-18,1155.47,1140.69,1146.65,,1,11335931526
2013-04-17,1171.06,1146.52,1147.48,,1,15025223313
2013-04-16,1177.20,1164.40,1167.48,,1,10360262773
2013-04-15,1186.94,1168.57,1177.61,,1,10031923856
2013-04-12,1192.40,1183.34,1185.33,,1,9099142855
2013-04-11,1197.37,1190.44,1195.53,,1,8508031494
2013-04-10,1194.67,1175.73,1193.66,,1,11215994188
2013-04-09,1178.40,1169.38,1175.62,,1,9168836394
2013-04-08,1177.83,1162.09,1164.85,,1,7838709549
2013-04-05,1184.80,1162.07,1168.79,,1,11215574691
2013-04-04,1201.46,1179.82,1183.01,,1,11101903992
2013-04-03,1210.36,1201.01,1203.38,,1,9325982516
2013-04-02,1211.25,1200.90,1210.08,,1,9890690328
2013-03-28,1203.44,1192.75,1201.19,,1,5508011130
2013-03-27,1200.20,1185.06,1194.49,,1,8881305547
2013-03-26,1199.91,1192.35,1194.99,,1,8971819902
2013-03-25,1206.78,1191.50,1195.58,,1,10126959102
2013-03-22,1196.98,1179.75,1196.43,,1,10652064240
2013-03-21,1198.48,1183.63,1187.72,,1,11497486163
2013-03-20,1205.83,1198.05,1203.10,,1,10722847159
2013-03-19,1210.19,1195.39,1195.98,,1,15122960276
2013-03-18,1211.85,1194.83,1209.67,,1,10167847648
2013-03-15,1218.99,1213.82,1217.35,,1,13630344726
